Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
230510MCX00020	0.0198229678756571	0	0	0	0	0.167446162004293	0.0126978390364461	0	0	0	0.0132035529220966	0	0	0.496168168535764	0	0.0944747381291092	0.00227542328378731	0.0398441392813223	0.0669900328463771	0	0.0509065697924713	0.0361704062926765	0.0580000000000001	0.15616156769537	1.07597843048446
230512MCX00018	0.0419768975514536	0	0	0	0	0.451328929436119	0.00360281359260619	0	0	0	0.00714222041325225	0.0185543174479078	0.0122877377157283	0.390648948456094	0.0195929440497453	0	0.0059423510296106	0	0.020932827599182	0	0	0.0279900127083007	0.0570000000000001	0.156528435968562	1.05393883042743
230517MCX00018	0.0766593168212522	0	0.00554767176609749	0	0	0.125070522937151	0.0867821087619647	0	0	0	0.0699667746263534	0	0	0.0255793949021353	0.0774665276183197	0	0	0.0106049035688119	0.0318869866102778	0	0.132615677131466	0.35782011525617	0.003	0.350230259376901	0.963698091282948
230517MCX00023	0.0595438834937562	0	0	0	0	0.156557380816157	0.0306518368922653	0	0	0	0.0309645209028755	0	0	0.325258679946534	0.0541506657847908	0.0179514002043288	0	0.0798106110064906	0.0466674542725997	0	0.0385110468174709	0.159932519862732	0.014	0.256633745526173	0.997905062370023
230518MCX00014	0.0297140081272098	0	0	0	0	0.204812340798063	0.0174153490645519	0	0	0	0.0176781392759829	0	0.0410446866780529	0.423995505104475	0	0.0956755482892571	0	0.0118029751132876	0.0491822609008527	0	0.0893811613739582	0.0192980252743098	0.09	0.12828664475226	1.07043266090836
230526MCX00012	0.0129989546294842	0	0	0.0138240007581033	0	0.168713851444751	0.0451704379112567	0	0	0	0.0181116175342671	0	0.00262901228458409	0.0257737689370336	0	0.0318935275565941	0.0248886034009449	0.0642737105474359	0.130602118937224	0	0.420289528054158	0.0408308680041641	0.048	0.163554864616249	1.03829195080935
230530MCX00020	0.00808815460241483	0	0.00462504241172721	0	0.0104052508753034	0.216002535501153	0.0292887963760083	0	0	0	0.0723287549834296	0	0	0.0297776198571885	0.0150408309131802	0	0	0.0395923859149599	0	0.06332407378813	0.111612834035038	0.399913720741466	0.00900000000000001	0.296180416699531	1.00826159805977
230603MCX00015	0.00180828283832808	0.00238478732642981	0.00129839753989681	0.0167369718163985	0.0159096674405093	0.17782519696641	0	0	0	0	0.0943705602336782	0	0.0180430657723979	0.576893373775627	0	0.034637607088603	0.00124377345904307	0.0126595943847122	0.0113340564072479	0	0	0.0348546649507178	0.091	0.127883995185836	1.11192264313257
230606MCX00022	0.0524947728157038	0	0.000983623854760649	0.0154744112093832	0	0.392355999598622	0.0872928476611362	0	0	0	0.0529192970061565	0	0.00960549145978852	0.121613226474589	0.0890685569137838	0	0.0107718042375461	0.0460844542553862	0.0502826599520628	0	0.044475149318742	0.0265777052423384	0.026	0.207328639957355	1.00393942892816
230606MCX00030	0.0121829541576963	0	0.00125346515789981	0	0	0.195521269176085	0.125181396847003	0	0	0	0.0540569217946796	0	0	0.136094829220668	0.127080318476587	0	0	0.0851245627305214	0.130838150159938	0	0.0414284214266419	0.0912377108522805	0.014	0.249389282419372	0.987459315585294
